Age,Gender,Race,Education Level,Industry,Weekly Hours Worked,Salary (ZAR),Rent (ZAR),Transport (ZAR),Groceries (ZAR),Debt Repayment (ZAR),Savings (ZAR),Entertainment (ZAR),Total Expenses (ZAR),Debt-to-Income Ratio (%),Debt Risk Level
28,Male,White,Diploma,Finance,45,15145,5063.53,1598.32,2336.47,7679.82,1936.31,2289.98,18968.12,50.71,Critical Risk
25,Male,Coloured,Bachelor's,Mining,30,45946,15145.18,4936.31,8002.91,7916.73,5128.15,7951.28,43952.41,17.23,Low Risk
27,Female,Coloured,Bachelor's,IT,50,17944,6546.59,1897.44,3516.98,2930.67,1375.83,3398.45,18290.13,16.33,Low Risk
34,Female,Black African,High School,Healthcare,30,11277,4159.08,1478.31,1980.07,5663.28,1726.94,1995.81,15276.55,50.22,Critical Risk
25,Male,Black African,Diploma,IT,40,16168,5883.15,2318.2,2452.45,7362.74,1292.8,2862.1,20878.63,45.54,Critical Risk
35,Male,Black African,Bachelor's,Healthcare,50,23461,8888.67,3404.19,4338.28,12594.99,5346.57,4367.9,33594.03,53.68,Critical Risk
24,Male,Black African,High School,Healthcare,30,21390,7782.31,2698.49,4141.75,1387.57,5325.6,3803.44,19813.56,6.49,Very Low Risk
28,Female,White,High School,Education,30,6592,2600.61,872.9,1053.79,2585.46,533.82,1199.99,8312.75,39.22,Critical Risk
29,Male,Black African,Bachelor's,Healthcare,40,32468,11578.81,4367.54,5126.52,9477.91,2483.49,4965.91,35516.68,29.19,Moderate Risk
25,Female,Indian/Asian,Diploma,Finance,45,26213,10183.48,3225.5,3968.84,6196.29,3842.42,4762.46,28336.56,23.64,Moderate Risk
34,Female,Black African,Diploma,Mining,45,12181,4825.11,1615.39,2291.5,6342.52,2993.4,1965.13,17039.66,52.07,Critical Risk
23,Male,Coloured,High School,IT,40,28491,9013.68,3353.11,5572.46,6450.45,3968.45,5395.8,29785.5,22.64,Moderate Risk
33,Female,Black African,Bachelor's,IT,40,49482,18193.48,6500.55,8631.65,12801.06,6494.42,8505.71,54632.46,25.87,Moderate Risk
31,Female,Black African,Diploma,Healthcare,45,25385,9281.13,3168.44,4160.35,4637.91,6119.27,4081.24,25329.08,18.27,Low Risk
35,Female,Black African,Bachelor's,Education,30,30853,11938.55,3333.48,6054.96,18051.8,4342.17,4724.49,44103.28,58.51,Critical Risk
24,Male,Black African,Master's,Finance,30,37050,12363.63,5270.36,5925.14,14734.93,7766.68,6048.06,44342.13,39.77,High Risk
22,Male,Black African,Master's,Finance,45,24713,8387.51,2799.84,4230.27,11105.12,3392.22,4775.86,31298.6,44.94,Critical Risk
29,Female,Black African,Bachelor's,Retail,30,6995,2131.48,735.99,1365.51,4127.1,1330.09,1280.87,9640.94,59.0,Critical Risk
24,Female,Black African,High School,Finance,30,25575,9632.25,3619.84,5099.39,9023.42,5983.33,4415.22,31790.12,35.28,Critical Risk
33,Female,Indian/Asian,Bachelor's,Healthcare,45,13923,4547.61,1994.32,2272.66,4313.18,2503.43,2319.49,15447.26,30.98,High Risk
31,Female,Black African,High School,Healthcare,45,15579,6120.93,1595.4,3077.96,4833.64,3802.46,2589.93,18217.87,31.03,High Risk
28,Female,Black African,Bachelor's,Construction,40,12576,4606.64,1846.91,2189.2,5618.64,2473.8,2143.2,16404.59,44.68,Critical Risk
31,Female,Black African,High School,Mining,40,21043,7012.85,2178.03,3825.59,11562.77,1317.98,3180.82,27760.06,54.95,Critical Risk
26,Male,Black African,Diploma,Healthcare,40,29494,11261.87,3257.29,5544.66,14056.46,1707.24,5375.52,39495.81,47.66,Critical Risk
31,Female,Black African,High School,Mining,45,27915,10656.1,2800.3,4705.63,9459.23,2199.31,4669.4,32290.66,33.89,High Risk
26,Female,Black African,Bachelor's,Finance,40,23886,7551.7,2406.08,4579.67,4653.66,1879.42,4241.67,23432.79,19.48,Low Risk
35,Female,Black African,High School,Retail,45,4370,1547.79,455.56,857.19,2234.48,242.85,766.03,5861.04,51.13,Critical Risk
28,Female,Black African,Diploma,Construction,30,8094,2436.41,1167.73,1522.45,4100.29,1010.87,1370.76,10597.64,50.66,Critical Risk
30,Male,Black African,Bachelor's,Education,40,16382,5478.27,1684.98,2552.87,2815.48,4071.54,2986.21,15517.82,17.19,Low Risk
33,Female,Black African,Diploma,IT,40,45178,16690.54,6200.38,6897.19,19318.9,7533.6,8821.46,57928.47,42.76,Critical Risk
26,Female,Black African,High School,Healthcare,45,10684,3557.87,1373.44,1763.63,3794.4,2114.23,2112.07,12601.41,35.51,High Risk
22,Male,Black African,Diploma,Finance,40,30561,9577.71,4259.62,5765.43,5203.59,4294.97,4967.23,29773.58,17.03,Low Risk
31,Male,Black African,High School,Healthcare,40,9848,3522.94,1394.63,1899.86,2071.24,839.62,1889.65,10778.32,21.03,Moderate Risk
31,Male,Black African,Diploma,Mining,45,26953,10677.43,3264.51,4595.41,12148.78,3240.85,4088.03,34774.16,45.07,Critical Risk
22,Male,Black African,Master's,Finance,50,15514,5294.84,1669.53,2422.76,8883.12,1468.13,2546.59,20816.84,57.26,Critical Risk
23,Male,Black African,Diploma,IT,45,31643,12397.73,3166.65,5927.67,12870.75,5074.86,5154.38,39517.18,40.67,Critical Risk
35,Male,Black African,High School,Mining,40,15394,6012.2,2223.17,2956.48,9014.58,2208.18,2457.85,22664.27,58.56,Critical Risk
27,Female,White,High School,Finance,30,12721,4666.7,1618.4,1977.64,4453.04,2806.75,2028.38,14744.16,35.01,High Risk
30,Female,Black African,Master's,Education,40,16033,4922.74,2015.37,2745.44,8338.0,1480.11,2616.78,20638.32,52.01,Critical Risk
29,Female,Black African,High School,Education,40,21177,7737.74,2902.2,3856.58,12405.63,3485.77,3926.43,30828.58,58.58,Critical Risk
34,Female,Black African,Diploma,IT,40,23535,8451.53,2739.19,4417.05,1554.35,1274.71,4008.32,21170.44,6.6,Very Low Risk
26,Male,Black African,Diploma,Education,45,8504,3045.62,1272.84,1679.76,623.72,1783.8,1657.77,8279.71,7.33,Very Low Risk
22,Male,Black African,Bachelor's,Mining,20,47926,15999.76,6153.94,7668.42,9023.9,7763.2,9150.03,47996.06,18.83,Low Risk
34,Female,Black African,Bachelor's,IT,50,50416,18908.79,5220.8,9854.54,10356.51,3166.04,8178.72,52519.35,20.54,Moderate Risk
28,Male,Indian/Asian,High School,Finance,40,13372,5192.29,1452.79,2573.07,4759.45,2850.22,2577.9,16555.49,35.59,Critical Risk
26,Female,Black African,Diploma,Mining,40,44616,16395.43,5128.13,7813.61,14502.43,2786.14,8619.65,52459.25,32.5,High Risk
27,Female,Black African,Diploma,Education,40,4753,1496.22,512.17,853.61,2420.91,647.17,837.62,6120.52,50.93,Critical Risk
34,Female,Black African,High School,Retail,40,3000,1135.39,436.24,555.01,1062.2,669.46,478.34,3667.18,35.41,Critical Risk
28,Female,White,High School,Healthcare,45,10140,3200.67,1246.19,1975.56,2046.02,625.57,1782.95,10251.39,20.18,Moderate Risk
24,Male,Black African,Diploma,Education,20,7888,2997.32,953.91,1402.19,1346.63,794.59,1193.36,7893.41,17.07,Low Risk
33,Male,Black African,High School,Retail,50,3000,1082.33,413.15,482.65,630.99,334.87,451.82,3060.95,21.03,Moderate Risk
31,Female,Black African,Bachelor's,IT,40,25310,8460.47,3574.16,4337.29,3226.4,4058.61,4435.53,24033.86,12.75,Very Low Risk
24,Male,Black African,High School,Finance,40,14935,5326.68,1689.32,2488.22,5731.65,2212.51,2923.52,18159.4,38.38,Critical Risk
26,Female,Black African,High School,Construction,20,8326,3183.32,852.29,1644.08,1522.92,1823.18,1304.85,8507.46,18.29,Low Risk
27,Male,Indian/Asian,High School,Healthcare,40,19098,6706.61,2045.63,2961.58,10051.11,4379.49,3215.46,24980.39,52.63,Critical Risk
30,Female,Black African,High School,Finance,45,28006,9736.33,4005.23,4852.44,16265.75,3354.3,4886.46,39746.22,58.08,Critical Risk
34,Female,Black African,Diploma,IT,40,27468,8823.46,3319.2,5477.02,7261.49,6317.61,4849.92,29731.11,26.44,Moderate Risk
35,Female,Black African,High School,Finance,40,24419,8219.12,2715.49,4278.93,13710.79,3138.69,4662.86,33587.2,56.15,Critical Risk
33,Male,Black African,Bachelor's,Mining,40,37492,13196.46,5599.1,6440.8,19806.04,7722.25,5925.3,50967.7,52.83,Critical Risk
26,Male,Black African,Master's,Mining,20,56423,17571.73,6258.07,10334.88,18860.99,9414.19,8530.28,61555.95,33.43,High Risk
22,Female,Black African,Bachelor's,Education,40,12734,4727.47,1784.88,2053.46,1908.26,2709.28,2374.32,12848.39,14.99,Very Low Risk
35,Male,Black African,High School,Education,45,9879,3847.78,1481.71,1900.07,3657.43,1696.14,1901.85,12788.84,37.02,Critical Risk
35,Female,Black African,Master's,Education,40,12803,4852.81,1370.32,2225.15,6088.27,2680.12,2178.25,16714.81,47.55,Critical Risk
35,Female,Black African,High School,Education,40,15139,5278.02,2028.84,2583.58,1793.28,2515.14,2994.85,14678.57,11.85,Very Low Risk
25,Female,Coloured,Diploma,IT,40,30173,9076.79,4275.64,5166.53,17039.12,2216.17,5322.12,40880.2,56.47,Critical Risk
26,Female,Black African,Diploma,Finance,30,14906,5151.79,2176.79,2744.92,6959.56,3097.03,2748.05,19781.11,46.69,Critical Risk
33,Male,Black African,High School,Education,50,23794,7432.7,2731.01,4351.01,12086.18,4487.42,4162.23,30763.13,50.8,Critical Risk
31,Female,Black African,Bachelor's,IT,50,45617,17070.0,4741.62,8010.38,16531.06,9367.65,7326.03,53679.07,36.24,High Risk
31,Female,White,High School,Construction,30,7269,2273.0,740.85,1307.04,1337.83,503.73,1208.57,6867.3,18.4,Low Risk
26,Male,Black African,Diploma,Healthcare,20,24207,7560.3,2853.78,4679.59,1613.01,4549.64,4788.43,21495.11,6.66,Very Low Risk
28,Female,Black African,High School,Education,30,10862,3815.84,1168.98,2067.84,3333.8,2226.94,1915.06,12301.52,30.69,High Risk
25,Male,Black African,Bachelor's,Finance,40,33736,10933.92,3986.83,5940.4,3174.95,4181.62,6664.45,30700.56,9.41,Very Low Risk
22,Male,Black African,Bachelor's,Mining,45,49185,15943.2,7126.23,9669.55,7434.04,11828.71,8225.2,48398.22,15.11,Low Risk
35,Male,Black African,High School,Retail,40,6251,2475.15,697.81,1081.56,1936.67,1159.59,1247.29,7438.48,30.98,High Risk
35,Female,Coloured,Diploma,Construction,20,11541,3801.63,1490.44,1909.25,3871.23,713.85,2105.98,13178.53,33.54,High Risk
26,Male,Coloured,Bachelor's,Mining,40,31754,12445.37,4727.0,5014.03,10436.46,5829.83,6049.0,38671.85,32.87,Critical Risk
28,Female,Black African,Diploma,Finance,40,5960,1926.62,709.18,960.9,2017.2,315.18,927.74,6541.64,33.85,High Risk
31,Female,Black African,Diploma,Finance,30,14810,5773.55,1639.66,2722.73,3141.71,1231.62,2875.8,16153.46,21.21,Moderate Risk
31,Male,Black African,Diploma,Construction,20,9339,2991.71,1375.94,1670.18,3654.35,1189.45,1410.35,11102.54,39.13,High Risk
27,Male,Indian/Asian,High School,Finance,40,29463,9353.76,3801.25,4612.28,7307.52,3417.62,4516.09,29590.91,24.8,Moderate Risk
26,Female,Black African,Diploma,Finance,45,38780,12710.6,3983.97,6743.95,12138.33,7532.08,6509.69,42086.54,31.3,High Risk
25,Male,Black African,Diploma,Education,30,22021,7534.89,2344.35,3472.29,4816.47,2424.59,3634.14,21802.15,21.87,Low Risk
23,Female,Black African,Diploma,Healthcare,30,11845,3800.66,1528.52,2016.45,1397.04,2437.11,1884.82,10627.49,11.79,Very Low Risk
25,Male,Black African,Bachelor's,Retail,45,7516,2718.05,933.25,1218.74,932.42,788.79,1420.47,7222.92,12.41,Very Low Risk
31,Female,Black African,High School,Education,30,15250,5289.02,1866.65,2660.1,7392.79,2444.23,2602.07,19810.63,48.48,Critical Risk
31,Female,Black African,High School,Mining,30,13296,4705.29,1693.36,2568.3,5181.63,2350.21,2585.74,16734.32,38.97,Critical Risk
24,Male,Black African,High School,Healthcare,50,15699,5753.15,1855.0,2588.53,961.08,3729.99,2377.89,13535.65,6.12,Very Low Risk
31,Male,Black African,High School,Construction,40,5880,2035.64,833.11,1167.99,2958.81,327.57,982.27,7977.81,50.32,Critical Risk
22,Male,Black African,High School,IT,40,16462,5094.03,2424.97,2879.94,836.61,1843.2,2620.02,13855.57,5.08,Very Low Risk
29,Male,Black African,PhD,Finance,50,23490,7877.24,2718.89,3728.1,2939.65,2128.18,4038.9,21302.78,12.51,Very Low Risk
26,Female,Black African,High School,Construction,45,3294,1158.77,441.17,603.96,317.05,620.57,658.18,3179.13,9.63,Very Low Risk
34,Female,Black African,Diploma,Mining,50,14854,4721.99,1766.93,2871.77,3783.59,2138.39,2883.69,16027.97,25.47,Moderate Risk
25,Male,Black African,High School,IT,40,24764,8649.47,2670.45,4307.53,3423.17,3898.16,4510.29,23560.92,13.82,Very Low Risk
29,Female,Indian/Asian,Diploma,Retail,40,6533,2040.42,721.79,1270.99,1383.41,431.09,1047.99,6464.59,21.18,Low Risk
28,Female,Black African,PhD,Mining,40,32547,10910.9,3648.66,6138.92,4979.24,5290.32,5927.69,31605.4,15.3,Low Risk
23,Male,Black African,High School,Construction,50,8507,3265.73,1060.18,1324.68,4173.17,937.49,1371.17,11194.94,49.06,Critical Risk
22,Male,Black African,Bachelor's,Healthcare,40,25066,7637.53,2835.09,4831.44,3028.58,5133.52,3840.37,22173.02,12.08,Very Low Risk
33,Female,Black African,PhD,Education,40,38971,11833.44,4899.98,6068.15,3984.84,4777.86,7196.45,33982.85,10.23,Very Low Risk
32,Female,Black African,Diploma,IT,30,12003,4080.06,1200.37,2031.86,2304.66,688.83,2271.14,11888.09,19.2,Low Risk
25,Female,Black African,High School,Mining,30,24841,9724.19,2871.83,4882.82,5874.3,1562.83,4066.65,27419.79,23.65,Moderate Risk
29,Female,Black African,Diploma,Education,20,15898,5746.29,1899.99,2598.43,3976.69,1769.12,2522.54,16743.95,25.01,Moderate Risk
33,Male,Black African,Bachelor's,Education,40,20254,7467.98,2655.89,3047.58,1337.76,2337.56,3856.85,18366.05,6.6,Very Low Risk
23,Female,Coloured,High School,Education,45,17397,6187.36,1781.0,2981.14,4655.85,3248.52,2723.79,18329.15,26.76,Moderate Risk
24,Female,Indian/Asian,Diploma,Healthcare,45,25870,9766.31,3780.92,5098.14,5055.78,2810.3,5132.12,28833.28,19.54,Low Risk
33,Female,White,High School,Finance,20,28888,9843.96,3337.44,4946.29,10260.41,5881.06,4352.69,32740.77,35.52,High Risk
22,Male,Black African,High School,Mining,45,21590,8094.19,2693.29,3354.47,3625.92,3471.32,3860.57,21628.44,16.79,Low Risk
22,Male,Indian/Asian,Bachelor's,Education,45,9596,3775.25,1293.08,1640.79,4489.82,1064.36,1719.78,12918.71,46.79,Critical Risk
34,Male,Black African,Diploma,Finance,45,30932,10346.73,3663.21,6165.93,13886.86,3131.29,5404.12,39466.85,44.89,Critical Risk
24,Female,Black African,High School,Education,20,4144,1413.38,544.91,663.44,400.28,475.36,778.12,3800.13,9.66,Very Low Risk
32,Male,Black African,Diploma,IT,45,18158,5765.25,2263.79,3553.22,3593.36,2035.51,3280.48,18456.1,19.79,Low Risk
26,Male,Black African,High School,Construction,40,7498,2337.68,927.63,1169.15,1992.06,1259.76,1488.16,7914.68,26.57,Moderate Risk
33,Male,Indian/Asian,High School,IT,45,19402,7275.12,2118.4,3014.59,2997.66,4012.61,2980.48,18386.25,15.45,Low Risk
24,Male,Black African,Diploma,IT,40,18277,6557.98,2186.32,2785.68,5191.08,1728.21,3108.07,19829.13,28.4,Moderate Risk
22,Female,Black African,Diploma,Finance,40,6868,2552.05,757.87,1085.4,3261.84,1420.92,1198.9,8856.05,47.49,Critical Risk
22,Female,Black African,High School,Finance,30,24418,7735.92,3407.31,4812.78,1384.75,1399.19,4516.02,21856.78,5.67,Very Low Risk
29,Female,Indian/Asian,High School,Education,30,12431,4670.53,1325.56,2375.16,1079.48,1405.5,1896.58,11347.32,8.68,Very Low Risk
31,Male,Black African,Diploma,Healthcare,50,21642,7172.08,2210.21,3607.21,10894.28,2583.78,4108.68,27992.46,50.34,Critical Risk
32,Female,White,Bachelor's,Mining,45,15961,5777.65,1910.02,2505.31,6055.92,937.34,2492.52,18741.41,37.94,High Risk
33,Male,Black African,Bachelor's,Healthcare,50,22485,8651.13,2266.09,4003.31,4432.92,3554.28,3374.76,22728.22,19.72,Low Risk
34,Male,Black African,High School,Construction,45,13955,5045.29,1645.13,2179.36,8281.09,847.07,2416.04,19566.91,59.34,Critical Risk
34,Male,Black African,Diploma,Finance,30,13398,4248.95,1862.63,2461.44,4750.05,2415.72,2150.25,15473.32,35.45,High Risk
33,Male,Black African,Bachelor's,Construction,45,5058,1770.33,707.94,982.07,2252.69,915.15,999.91,6712.95,44.54,Critical Risk
35,Male,Black African,Diploma,Mining,40,22723,7392.01,2703.39,4002.87,12307.64,1953.4,4175.68,30581.58,54.16,Critical Risk
23,Female,Black African,Master's,Construction,30,5391,1915.33,706.3,871.15,1390.82,356.05,1032.03,5915.64,25.8,Moderate Risk
34,Female,Black African,Master's,Construction,45,13212,4068.02,1731.21,2189.64,1217.14,890.95,2597.71,11803.72,9.21,Very Low Risk
24,Female,Black African,High School,IT,45,29756,11850.12,3620.76,5031.72,17647.65,3075.31,4596.26,42746.52,59.31,Critical Risk
23,Male,Black African,High School,Healthcare,30,5817,2105.94,738.83,1151.82,1213.47,1204.03,1043.27,6253.33,20.86,Moderate Risk
24,Male,Black African,High School,Construction,40,6596,2230.53,865.32,1273.02,2748.27,1095.66,1148.12,8265.26,41.67,Critical Risk
28,Male,Black African,High School,Healthcare,45,18239,6100.73,2225.76,3233.51,2064.5,3069.56,3375.34,16999.84,11.32,Very Low Risk
22,Female,Black African,Master's,Healthcare,30,11804,4226.95,1738.49,2173.91,2865.31,1746.81,2173.45,13178.11,24.27,Moderate Risk
31,Female,Black African,Master's,Finance,50,41012,15060.11,5874.51,6352.18,8269.86,7012.92,7951.25,43507.9,20.16,Moderate Risk
29,Female,Black African,High School,Mining,40,10414,3368.32,1406.99,1657.24,6038.55,2505.37,1788.17,14259.26,57.98,Critical Risk
34,Male,Black African,Diploma,IT,45,32986,11713.18,4230.37,5856.17,3497.79,7303.53,5163.73,30461.25,10.6,Very Low Risk
31,Female,Black African,Diploma,Finance,40,39638,15287.59,5334.12,6195.89,2382.17,2266.11,7461.06,36660.84,6.01,Very Low Risk
31,Male,Black African,High School,IT,40,13757,5241.86,1946.65,2077.47,5204.54,1730.09,2112.59,16583.1,37.83,Critical Risk
31,Female,White,Diploma,Construction,45,4944,1574.42,523.18,767.61,1489.55,1006.54,825.75,5180.51,30.13,High Risk
35,Female,Black African,Master's,Retail,40,9451,3197.49,997.49,1466.72,2989.43,2303.85,1826.5,10477.63,31.63,High Risk
23,Female,White,High School,Retail,40,7596,2879.48,903.23,1420.88,2158.67,660.04,1517.45,8879.72,28.42,Moderate Risk
24,Female,Black African,High School,IT,40,28286,9360.23,4163.21,5445.01,1815.72,4930.61,4966.19,25750.35,6.42,Very Low Risk
30,Male,Black African,High School,Retail,20,4497,1694.83,480.32,857.58,843.2,1032.52,848.41,4724.34,18.75,Low Risk
28,Female,Black African,High School,Mining,40,22351,8290.63,2808.13,4460.37,11762.38,2794.49,3394.85,30716.35,52.63,Critical Risk
25,Female,Coloured,High School,Construction,40,6416,2042.05,713.98,1246.62,2884.42,798.59,1243.26,8130.34,44.96,Critical Risk
31,Male,Black African,Diploma,Construction,20,10418,3851.39,1121.79,1785.1,4879.06,733.87,1689.24,13326.58,46.83,Critical Risk
26,Male,Black African,Diploma,Mining,30,19904,7637.65,2862.53,3432.36,11085.72,2355.64,3080.0,28098.26,55.7,Critical Risk
23,Male,Coloured,Bachelor's,Construction,40,17002,6642.96,2289.72,2812.0,4212.16,4030.99,2753.14,18709.97,24.77,Moderate Risk
34,Male,Black African,High School,Finance,40,13650,4429.3,1804.95,2196.51,2888.06,2901.13,2483.92,13802.74,21.16,Moderate Risk
32,Male,Black African,High School,IT,40,14560,5819.48,1872.13,2760.39,7434.28,1408.75,2758.21,20644.49,51.06,Critical Risk
34,Female,Black African,Bachelor's,Construction,40,9197,3210.02,1250.49,1672.89,5082.15,2228.8,1520.05,12735.6,55.26,Critical Risk
29,Male,Black African,Bachelor's,Finance,40,27024,8786.88,3732.41,4243.15,14389.33,1919.18,4313.2,35464.97,53.25,Critical Risk
25,Male,Black African,High School,Mining,45,11070,4120.11,1311.96,2048.56,4638.96,2752.57,2146.31,14265.92,41.91,Critical Risk
30,Female,Black African,High School,Construction,30,5654,2099.29,676.52,902.87,505.34,804.78,1021.77,5205.79,8.94,Very Low Risk
26,Female,Black African,Bachelor's,Mining,40,43522,15729.76,4780.31,7427.0,7597.15,4207.04,8015.89,43550.11,17.46,Low Risk
34,Female,Black African,High School,Mining,40,22405,7045.95,3207.01,4360.18,12573.91,1983.69,3388.62,30575.68,56.12,Critical Risk
30,Male,Black African,High School,Healthcare,45,22890,6940.15,2443.16,3507.33,9858.54,4495.19,4287.64,27036.82,43.07,High Risk
25,Female,Black African,Diploma,Retail,40,3450,1288.69,439.68,581.6,1048.49,595.84,562.21,3920.67,30.39,High Risk
31,Female,Black African,High School,Finance,30,12400,4152.88,1258.49,1874.46,5173.06,3017.77,2294.44,14753.34,41.72,High Risk
26,Male,Black African,High School,Finance,40,5664,1754.53,710.46,975.97,3081.53,1343.82,1092.13,7614.62,54.41,Critical Risk
30,Male,Black African,Diploma,Construction,40,5365,2109.06,766.88,986.35,2371.08,1165.73,816.7,7050.08,44.2,Critical Risk
29,Female,Black African,Bachelor's,Construction,45,7829,3073.88,1145.82,1174.55,2244.55,803.68,1232.7,8871.48,28.67,Moderate Risk
24,Female,Black African,Bachelor's,Mining,40,22191,8082.6,3154.97,4056.79,12870.78,4754.75,3619.16,31784.3,58.0,Critical Risk
22,Female,Black African,Master's,Construction,20,17242,5591.15,2382.6,3145.31,7583.81,3380.65,2774.3,21477.16,43.98,Critical Risk
24,Female,White,High School,Healthcare,40,7694,3065.78,830.38,1503.05,3765.1,1762.99,1505.53,10669.84,48.94,Critical Risk
25,Female,Black African,High School,Finance,40,22422,7267.09,2911.85,3859.09,3046.61,3203.19,4066.81,21151.45,13.59,Very Low Risk
23,Female,Black African,Bachelor's,Education,50,30866,9292.62,3275.01,4875.5,12375.63,2939.28,6152.92,35971.69,40.09,High Risk
22,Male,Black African,Diploma,Finance,40,28994,11306.28,3016.46,5337.85,14661.44,6367.27,4369.95,38691.97,50.57,Critical Risk
28,Male,Black African,High School,Healthcare,40,21801,6967.91,2192.11,3690.29,8612.94,3766.86,3481.16,24944.4,39.51,High Risk
29,Male,Coloured,High School,Mining,45,15202,5517.97,1691.06,2412.19,1443.17,2224.03,2918.01,13982.39,9.49,Very Low Risk
28,Female,Black African,High School,Healthcare,50,10921,3536.6,1497.55,1980.89,976.96,1913.51,1938.62,9930.62,8.95,Very Low Risk
35,Female,Black African,Diploma,Retail,40,3000,1034.06,372.03,467.17,721.48,688.78,525.87,3120.61,24.05,Moderate Risk
26,Female,Black African,High School,Finance,40,21547,7332.57,2333.2,3402.31,7942.17,1642.18,4146.04,25156.28,36.86,High Risk
33,Male,Black African,Master's,Retail,40,6595,2225.78,741.34,1231.13,3246.53,592.59,1290.99,8735.77,49.23,Critical Risk
22,Female,Black African,High School,Finance,40,9876,3276.68,1119.25,1821.68,4556.8,732.02,1709.84,12484.26,46.14,Critical Risk
28,Male,Black African,PhD,Retail,40,7341,2213.47,1036.02,1321.04,480.37,1237.86,1188.24,6239.14,6.54,Very Low Risk
34,Male,Black African,Bachelor's,Finance,45,14822,4764.71,1689.24,2806.26,3073.94,1262.25,2292.84,14626.98,20.74,Low Risk
28,Female,Black African,Diploma,Education,40,17660,7053.68,1953.1,2781.67,9050.86,1125.78,3364.79,24204.1,51.25,Critical Risk
30,Female,Black African,Bachelor's,Mining,50,34003,10227.25,4121.48,5232.62,9441.12,5793.1,5828.67,34851.14,27.77,Moderate Risk
24,Female,Black African,Diploma,Education,40,19687,6047.62,2839.06,3929.82,1242.29,2040.63,3056.01,17114.81,6.31,Very Low Risk
30,Male,Black African,High School,IT,20,19066,5781.39,2618.49,3351.04,9052.47,3271.66,3089.77,23893.16,47.48,Critical Risk
35,Female,Black African,High School,Healthcare,30,13599,4778.77,1814.87,2698.82,4931.26,2328.17,2465.89,16689.61,36.26,Critical Risk
22,Male,White,Diploma,Finance,20,12926,3925.45,1886.74,2322.47,1622.66,1354.36,2278.88,12036.2,12.55,Very Low Risk
22,Male,Black African,Diploma,Healthcare,30,16068,5682.45,2247.23,2981.17,5111.5,3591.82,3182.76,19205.11,31.81,High Risk
35,Female,White,Diploma,Finance,30,14528,4832.58,1697.21,2394.14,1138.2,2527.24,2536.49,12598.63,7.83,Very Low Risk
25,Female,Black African,Diploma,IT,30,38767,15032.68,3983.45,7496.59,21234.17,6654.4,6017.38,53764.26,54.77,Critical Risk
30,Female,Black African,Diploma,Mining,20,30014,10081.59,3146.06,5082.18,5394.6,6798.05,5156.38,28860.8,17.97,Low Risk
27,Male,Black African,Diploma,Mining,30,28161,10757.1,3352.71,5461.13,14341.39,6643.62,4409.09,38321.42,50.93,Critical Risk
34,Female,Black African,Diploma,Healthcare,30,11256,4169.83,1325.72,1848.68,5248.85,2412.24,1839.03,14432.11,46.63,Critical Risk
32,Male,Coloured,Diploma,Education,20,16939,6723.96,2407.57,3041.69,5222.54,2795.66,3094.11,20489.87,30.83,Critical Risk
24,Female,Indian/Asian,Bachelor's,IT,40,35224,12125.87,5251.55,6661.43,4926.2,5534.62,6652.49,35617.54,13.99,Very Low Risk
22,Male,Black African,Diploma,Healthcare,30,24261,9594.57,3587.78,4590.33,13116.93,2785.64,4188.28,35077.89,54.07,Critical Risk
25,Male,Black African,Bachelor's,Mining,20,45103,16447.62,5992.86,8544.9,7501.65,3543.22,8864.06,47351.09,16.63,Low Risk
33,Female,Black African,Diploma,Retail,30,4829,1633.51,580.54,964.85,725.39,985.06,850.5,4754.79,15.02,Low Risk
34,Female,Indian/Asian,Diploma,Healthcare,45,25642,8948.82,3039.22,5073.46,4378.13,5649.0,4061.01,25500.64,17.07,Low Risk
30,Male,Black African,Diploma,Finance,40,29300,10929.76,2965.47,4691.96,6165.29,3730.46,5019.19,29771.67,21.04,Moderate Risk
24,Male,Black African,High School,Construction,40,8358,3247.09,1199.07,1408.08,2208.23,1885.3,1438.84,9501.31,26.42,Moderate Risk
33,Female,Black African,PhD,Mining,30,26725,9102.21,3878.06,4698.52,15898.42,5162.96,4384.93,37962.13,59.49,Critical Risk
30,Male,Black African,High School,Finance,40,25005,9859.31,2755.84,4660.08,10370.84,5794.94,4362.65,32008.72,41.48,Critical Risk
28,Male,Black African,High School,IT,45,28129,9784.23,3307.85,5171.15,2682.15,6114.06,5137.78,26083.16,9.54,Very Low Risk
33,Male,Black African,High School,Education,40,4960,1870.11,649.53,911.22,459.73,276.09,906.73,4797.31,9.27,Very Low Risk
35,Male,White,High School,Education,40,16000,6252.2,1835.57,2626.15,1333.73,1621.29,2458.36,14506.02,8.34,Very Low Risk
25,Female,Black African,Bachelor's,Mining,40,17030,5483.46,2004.16,2841.87,5201.4,3068.75,2997.87,18528.76,30.54,High Risk
24,Female,Black African,Diploma,Mining,40,44911,14375.67,5525.86,7198.14,12045.16,9581.85,6849.37,45994.2,26.82,Moderate Risk
31,Female,Black African,Bachelor's,Education,45,8893,3274.32,1050.88,1725.36,4683.6,1982.97,1421.76,12155.91,52.67,Critical Risk
26,Female,Black African,High School,Healthcare,30,21138,7677.63,2228.6,3613.39,5546.46,4271.09,3756.23,22822.31,26.24,Moderate Risk
